subnum,nowtrial,imageno,exposure,charalength,TargetPosi,charakey,charares,TorF1,maskwidth,colorcond,colorres,TorF2,totaltime,RSVPtime,mojitime,mojiRT,colorRT,gray_gray,gray_mix,gray_color,mix_gray,mix_mix,mix_color,color_gray,color_mix,color_color
44,139,383,7,22,8,1000,1000,1000,1.00E-02,0,0,1,2.91E+00,1.88E+00,8.56E-02,1.00E+03,2.22E-01,1,0,0,0,0,0,0,0,0
44,140,293,7,22,8,73,73,1,3.00E+02,2,1,0,4.33E+00,3.30E+00,1.50E-01,2.90E-01,9.85E-02,0,0,0,0,0,0,0,1,0
44,141,280,7,21,7,79,81,0,3.00E+02,2,1,0,4.14E+00,3.12E+00,1.48E-01,3.57E-01,2.40E-01,0,0,0,0,0,0,0,1,0
44,142,203,5,22,8,79,79,1,3.00E+02,2,1,0,3.48E+00,2.45E+00,1.11E-01,4.53E-01,2.90E-02,0,0,0,0,0,0,0,1,0
44,143,207,9,20,6,83,83,1,3.00E+02,2,2,1,4.59E+00,3.57E+00,1.78E-01,2.57E-01,1.76E-01,0,0,0,0,0,0,0,0,1
44,144,355,5,24,10,68,75,0,2.50E+01,1,1,1,3.07E+00,2.05E+00,8.54E-02,9.38E-01,3.17E-02,0,0,0,0,1,0,0,0,0
44,145,245,9,22,8,88,88,1,3.00E+02,2,1,0,4.85E+00,3.83E+00,1.74E-01,3.10E-01,3.68E-02,0,0,0,0,0,0,0,1,0
44,146,451,9,24,10,1000,1000,1000,3.00E+02,2,2,1,3.83E+00,2.80E+00,1.17E-01,1.00E+03,3.40E-01,0,0,0,0,0,0,0,0,1
44,147,420,9,23,9,75,75,1,3.00E+02,2,2,1,4.99E+00,3.97E+00,1.72E-01,3.46E-01,2.00E-01,0,0,0,0,0,0,0,0,1
44,148,418,9,21,7,73,73,1,3.00E+02,2,2,1,4.72E+00,3.70E+00,1.76E-01,2.85E-01,2.52E-01,0,0,0,0,0,0,0,0,1
44,149,305,9,22,8,75,75,1,9.00E+00,1,1,1,4.97E+00,3.93E+00,1.79E-01,2.95E-01,2.31E-01,0,0,0,0,1,0,0,0,0
